Spring,2014,PLATZER A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,147,259,0.57,11.36,3.33,3.41,3.34,2.92,3.4,3.08,3.51,2.96,3.14
Spring,2014,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,3,Lect,24,27,0.89,15.3,4.96,4.79,4.71,4.75,4.83,4.79,5,4.83,4.75
Fall,2014,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,97,177,0.55,12.66,4.52,4.54,4.54,4.11,4.47,4.42,4.64,4.46,4.45
Fall,2014,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,92,146,0.63,11.78,4.69,4.74,4.63,4.2,4.65,4.62,4.77,4.64,4.54
Fall,2014,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,3,Lect,7,11,0.64,16.14,4.57,4.67,4.67,4.5,4.5,4.67,4.5,4.83,4.5
Summer,2013,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,10,12,0.83,17.3,4.1,3.6,4.1,3.1,4.4,4,3.2,4,4.3
Summer,2013,ANN ANDERSON,CS,15122,PRIN IMPRTV COMPTATN,S,Lect,3,17,0.18,18.67,4.67,4.67,4.33,4.33,4.67,5,5,4.67,4.67
Summer,2013,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,U,Lect,13,25,0.52,18.69,3.62,3.54,3.85,2.62,4,3.69,3.08,3.46,3.46
Spring,2013,SIMMONS R.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,126,206,0.61,11.95,4.26,4.22,4.22,4.07,4.18,4.16,4.49,4.18,3.9
Spring,2013,PLATZER A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,126,206,0.61,11.92,3.62,3.76,3.7,3.57,3.71,3.52,3.98,3.38,3.77
Spring,2013,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,3,Lect,23,28,0.82,15.35,4.83,4.7,4.57,4.52,4.83,4.83,4.87,4.78,4.48
Fall,2013,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,104,189,0.55,13.4,4.54,4.36,4.28,4.14,4.24,4.27,4.61,4.18,4.07
Fall,2013,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,74,129,0.57,11.58,4.69,4.57,4.64,4.34,4.58,4.65,4.77,4.65,4.42
Summer,2012,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,8,17,0.47,11.38,4.5,4,4.63,4.13,4.88,4.5,4.88,4.38,3.75
Summer,2012,  MORGENSTERN,CS,15122,PRIN IMPRTV COMPTATN,S,Lect,12,21,0.57,13,4.42,3.92,4,3.92,3.92,3.92,4.42,3.75,3.75
Summer,2012,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,U,Lect,12,27,0.44,12.5,3.42,3.5,3.58,3.08,3.83,3.58,3.92,3.33,2.83
